What is your gender identity?,What is your race/ethnicity?,What was the highest mathematics course that you took before your current Calculus I course?,Pick the field that is closest to what you want to do after graduating. Select all that apply.,Do you plan to take Calculus II?,"""If you answered no or maybe, why not?"""
"""Cis-gender man (male at birth, identify as a man)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Engineering/architecture,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Other:,Earth and/or space science,Maybe,I changed my major and now do not need to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,AP Calculus AB or equivalent,Economics,Maybe,I changed my major and now do not need to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Hispanic/Latinx,Other:,Philosophy,No,n/a - I am taking Calculus II.
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),AP Calculus BC or equivalent,Law/government,Maybe,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender woman (male at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Yes,Other:
Other:,Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus AB or equivalent,Philosophy,No,My grade in Calculus I was not good enough to continue to Calculus II.
Gender fluid (gender identity and/or expression varies over time),Black/African American (non-Hispanic/Latinx),AP Calculus AB or equivalent,Earth and/or space science,Maybe,My grade in Calculus I was not good enough to continue to Calculus II.
Gender fluid (gender identity and/or expression varies over time),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,English/communication,No,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,Algebra 2 or College Algebra,Modern language,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Intersex (have a combination of male and female biological traits),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social services,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,Other:,Visual arts,Maybe,It is not required for my major / I have too many other courses that I need to complete.
Intersex (have a combination of male and female biological traits),Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Visual arts,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Other:,Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Algebra 2 or College Algebra,Earth and/or space science,Yes,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Hispanic/Latinx,Pre-calculus or Trigonometry,Engineering/architecture,Maybe,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Other:,Algebra 2 or College Algebra,Chemistry,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender man (female at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Medicine/health,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),Asian/Asian American (non-Hispanic/Latinx),AP Calculus BC or equivalent,English/communication,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Cis-gender man (male at birth, identify as a man)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Chemistry,Maybe,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
Other:,2 or more races,AP Calculus BC or equivalent,Philosophy,Maybe,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Education,Maybe,My experience in Calculus I made me decide not to take Calculus II.
