What is your gender identity?,What is your race/ethnicity?,What was the highest mathematics course that you took before your current Calculus I course?,Pick the field that is closest to what you want to do after graduating. Select all that apply.,Do you plan to take Calculus II?,"""If you answered no or maybe, why not?"""
Other:,2 or more races,AP Calculus AB or equivalent,Business/finance,No,n/a - I am taking Calculus II.
"""Transgender man (female at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Algebra 2 or College Algebra,Mathematics,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Earth and/or space science,Yes,My experience in Calculus I made me decide not to take Calculus II.
Gender fluid (gender identity and/or expression varies over time),2 or more races,Pre-calculus or Trigonometry,Medicine/health,Yes,My grade in Calculus I was not good enough to continue to Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus AB or equivalent,Computer Science/technology,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,Other:,Performing arts,Yes,n/a - I am taking Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Asian/Asian American (non-Hispanic/Latinx),Pre-calculus or Trigonometry,Performing arts,Yes,Other:
Non-binary / genderqueer (don't identify exclusively as a man or a woman),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Visual arts,No,n/a - I am taking Calculus II.
Other:,2 or more races,Algebra 2 or College Algebra,Medicine/health,Yes,I changed my major and now do not need to take Calculus II.
Other:,Black/African American (non-Hispanic/Latinx),Other:,English/communication,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Transgender man (female at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,English/communication,No,"""To do well in Calculus II, I would need to spend more time and effort than I can afford."""
"""Cis-gender man (male at birth, identify as a man)""",White (non-Hispanic/Latinx),AP Calculus BC or equivalent,Performing arts,Yes,n/a - I am taking Calculus II.
Gender fluid (gender identity and/or expression varies over time),White (non-Hispanic/Latinx),AP Calculus AB or equivalent,Medicine/health,Yes,I changed my major and now do not need to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",Indigenous/Native American/Native Alaskan (non-Hispanic/Latinx),Other:,Earth and/or space science,Yes,I changed my major and now do not need to take Calculus II.
"""Transgender man (female at birth, identify as a man)""",Other:,Pre-calculus or Trigonometry,Performing arts,Yes,It is not required for my major / I have too many other courses that I need to complete.
"""Cis-gender man (male at birth, identify as a man)""",Hispanic/Latinx,Algebra 2 or College Algebra,Law/government,No,My experience in Calculus I made me decide not to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",2 or more races,Algebra 2 or College Algebra,English/communication,No,My grade in Calculus I was not good enough to continue to Calculus II.
Agender (don't identify as any gender),White (non-Hispanic/Latinx),Algebra 2 or College Algebra,Social sciences,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender man (male at birth, identify as a man)""",2 or more races,AP Calculus AB or equivalent,Economics,No,I changed my major and now do not need to take Calculus II.
Non-binary / genderqueer (don't identify exclusively as a man or a woman),Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Other:,Computer Science/technology,No,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",White (non-Hispanic/Latinx),Other:,Visual arts,Yes,I don't think I understand the ideas of Calculus I well enough to take Calculus II.
"""Cis-gender woman (female at birth, identify as a woman)""",Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),Pre-calculus or Trigonometry,"Social services
",Yes,My grade in Calculus I was not good enough to continue to Calculus II.
Other:,Native Hawaiian/Pacific Islander (non-Hispanic/Latinx),AP Calculus BC or equivalent,Modern language,Maybe,n/a - I am taking Calculus II.
"""Transgender woman (male at birth, identify as a woman)""",Hispanic/Latinx,AP Calculus BC or equivalent,Chemistry,Yes,It is not required for my major / I have too many other courses that I need to complete.
